Carrier,Plan Type,Metallic Level,Plan Title,Deductible,Office Visits (PCP/Specialist) *,Inpatient Hospital Services *,Out-of-Pocket Max,RX Tiers 1/2/3/4
Aetna,PPO,Bronze,CA Bronze MC Savings Plus 50/50 8300,"$8,300/ $16,600 embedded",$85 (ded waived 1st visit) then 0%/$95,50%,"$8,900/ $17,800 embedded; includes ded",MedDed (2-4); $30/$100/$150/50%
Aetna,PPO,Bronze,CA Bronze MC 50/50 8300,"$8,300/ $16,600 embedded",$85 (ded waived 1st visit) then 0%/$95,50%,"$8,900/ $17,800 embedded; includes ded",MedDed (2-4); $30/$100/$150/50%
Aetna,PPO,Bronze,CA Bronze MC Savings Plus 100 6650 HSA M,"$6,650/ $13,300",0%,0%,"$6,650/ $13,300 embedded; includes ded",MedDed (1-4); 0%
Aetna,PPO,Bronze,CA Bronze MC 100 6650 HSA M,"$6,650/ $13,300",0%,0%,"$6,650/ $13,300 embedded; includes ded",MedDed (1-4); 0%
Aetna,PPO,Silver,CA Silver MC Savings Plus 60/50 2100,"$2,100/ $4,200 embedded",$45/$75 (ded waived),40%,"$9,100/ $18,200 embedded; includes ded",$300/$600 (2-4); $20/$80/$120/40%
Aetna,PPO,Silver,CA Silver MC Savings Plus 65/50 2600,"$2,600/ $5,200 embedded",$50/$90 (ded waived),35%,"$9,000/ $18,000 embedded; includes ded",$100/$200 (2-4); $15/$70/$120/30%
Aetna,PPO,Silver,CA Silver MC Savings Plus 65/50 2500 M,"$2,500/ $5,000 embedded",$55/$90 (ded waived),35%,"$8,600/ $17,200 embedded; includes ded",$300/$600 (2-4); $20/$75/$105/30%
Aetna,PPO,Bronze,CA Bronze PPO 50/50 8300,"$8,300/ $16,600 embedded",$85 (ded waived 1st visit) then 0%/$95,50%,"$8,900/ $17,800 embedded; includes ded",MedDed (2-4); $30/$100/$150/50%
Aetna,PPO,Silver,CA Silver MC 60/50 2100,"$2,100/ $4,200 embedded",$45/$75 (ded waived),40%,"$9,100/ $18,200 embedded; includes ded",$300/$600 (2-4); $20/$80/$120/40%
Aetna,PPO,Silver,CA Silver MC 65/50 2600,"$2,600/ $5,200 embedded",$50/$90 (ded waived),35%,"$9,000/ $18,000 embedded; includes ded",$100/$200 (2-4); $15/$70/$120/30%
Aetna,PPO,Gold,CA Gold MC Savings Plus 90/50 3300 HSA,"$3,300/ $6,600 embedded",10%,10%,"$4,200/ $8,400 embedded; includes ded",MedDed (1-4); 10%
Aetna,PPO,Silver,CA Silver MC 65/50 2500 M,"$2,500/ $5,000 embedded",$55/$90 (ded waived),35%,"$8,600/ $17,200 embedded; includes ded",$300/$600 (2-4); $20/$75/$105/30%
Aetna,PPO,Gold,CA Gold MC 90/50 3300 HSA,"$3,300/ $6,600 embedded",10%,10%,"$4,200/ $8,400 embedded; includes ded",MedDed (1-4); 10%
